LMP,Load,Temp,,,,LMP(S),Load(S),LMP(S),,LMP(O),Load(O),Temp(O)
18.52,41.23,26.71,,,mean,45.51,45.79,22.74,,60.79,52.43,29.05
18.44,39.35,24.94,,,std,53.74,5.873,3.29,,406.05,9.78,3.94
18.53,39.35,24.94,,,,,,,,,,
17.99,39.35,24.35,,,,,,,,,,
17.57,39.35,24.35,,,,,,,,,,
17.05,38.12,23.76,,,,,,,,,,
17.52,38.12,23.76,,,,,,,,,,
17.02,38.12,23.45,,,,,,,,,,
17.03,38.12,23.45,,,,,,,,,,
17.39,37.45,23.13,,,,,,,,,,
17.18,37.45,23.13,,,,,,,,,,
17.08,37.45,22.91,,,,,,,,,,
16.93,37.45,22.91,,,,,,,,,,
17.29,37.53,22.68,,,,,,,,,,
17.58,37.53,22.68,,,,,,,,,,
18.1,37.53,22.51,,,,,,,,,,
18.65,37.53,22.51,,,,,,,,,,
19.59,38.84,22.34,,,,,,,,,,
19.19,38.84,22.34,,,,,,,,,,
19.97,38.84,22.22,,,,,,,,,,
19.86,38.84,22.22,,,,,,,,,,
24.2,41.2,22.08,,,,,,,,,,
23.48,41.2,22.08,,,,,,,,,,
27.28,41.2,21.96,,,,,,,,,,
27.25,41.2,21.96,,,,,,,,,,
29.33,42.53,21.87,,,,,,,,,,
26.98,42.53,21.87,,,,,,,,,,
26.55,42.53,21.76,,,,,,,,,,
25.87,42.53,21.76,,,,,,,,,,
26.44,43.78,21.65,,,,,,,,,,
24.45,43.78,21.65,,,,,,,,,,
24.01,43.78,21.56,,,,,,,,,,
23.83,43.78,21.56,,,,,,,,,,
25.6,45.59,21.45,,,,,,,,,,
25.28,45.59,21.45,,,,,,,,,,
25.7,45.59,21.34,,,,,,,,,,
29.26,45.59,21.34,,,,,,,,,,
29.82,47.65,21.21,,,,,,,,,,
29.46,47.65,21.21,,,,,,,,,,
29.67,47.65,21.09,,,,,,,,,,
29.42,47.65,21.09,,,,,,,,,,
30.29,49.57,20.97,,,,,,,,,,
31.41,49.57,20.97,,,,,,,,,,
33.61,49.57,20.86,,,,,,,,,,
37.24,49.57,20.86,,,,,,,,,,
33.95,51.21,20.76,,,,,,,,,,
36.47,51.21,20.76,,,,,,,,,,
43.46,51.21,20.95,,,,,,,,,,
47.69,51.21,20.95,,,,,,,,,,
56.21,52.65,21.15,,,,,,,,,,
72.53,52.65,21.15,,,,,,,,,,
91.79,52.65,21.81,,,,,,,,,,
107.19,52.65,21.81,,,,,,,,,,
102.23,53.64,22.48,,,,,,,,,,
132.23,53.64,22.48,,,,,,,,,,
160,53.64,23.26,,,,,,,,,,
195.8,53.64,23.26,,,,,,,,,,
192.47,54.1,24.05,,,,,,,,,,
218.17,54.1,24.05,,,,,,,,,,
226.97,54.1,24.85,,,,,,,,,,
241.11,54.1,24.85,,,,,,,,,,
195.84,54.25,25.64,,,,,,,,,,
230.17,54.25,25.64,,,,,,,,,,
202.12,54.25,26.3,,,,,,,,,,
172.1,54.25,26.3,,,,,,,,,,
115.38,53.93,26.95,,,,,,,,,,
