LMP,Load,Temperature
15.16,33.92,17.06
14.69,33.75,17.37
17.33,33.82,17.22
16.4,34.13,17.05
13.31,34.43,16.98
9.65,34.83,17.16
8.83,34.97,17.26
7.7,35.5,17.39
7.52,36.14,17.53
7.33,36.84,17.81
8.34,37.42,18.18
11.78,37.83,18.44
16.8,38.14,18.66
20.27,38.39,19.1
22.41,38.67,19.95
25.84,38.94,20.94
29.42,39.21,21.81
30.44,39.32,22.41
28.34,39.46,22.9
27.38,39.72,23.29
27.02,40.08,23.62
26.86,40.57,23.82
28.13,41.04,23.84
27.36,41.29,23.95
29.02,41.46,24.05
31.32,41.68,23.85
29.14,41.91,23.42
24.87,41.81,22.97
21.25,41.57,22.42
18.94,41.32,21.34
16.8,41.3,19.8
15.4,41.35,18.42
14.68,41.46,17.75
15.86,41.61,17.61
17.41,41.67,17.52
16.43,41.6,17.34
14.67,41.56,17.07
14.09,41.1,16.81
13.97,40.36,16.79
15.99,39.32,16.77
18.47,38.11,16.69
19.33,37.12,16.61
20.05,36.1,16.52
20.26,35.21,16.5
19.71,34.52,16.56
18.91,34,16.59
18.68,33.57,16.63
18.82,33.21,16.75
18.93,32.97,16.85
19.69,32.76,16.82
20.04,32.52,16.9
21.13,32.32,16.85
21.28,32.12,16.84
21.21,32.07,16.87
21.46,31.96,16.85
21.6,31.87,16.83
21.25,31.92,16.84
21.39,31.86,16.86
21.62,31.86,16.81
21.83,31.83,16.78
21.57,31.84,16.81
21.48,31.87,16.81
21.64,31.88,16.8
21.7,31.97,16.76
22.01,31.93,16.76
22.63,31.86,16.66
22.39,31.9,16.61
22.48,31.94,16.65
22.12,32.01,16.6
22.94,31.94,16.45
21.44,32.07,16.64
19.99,32.35,16.71
18.08,32.7,16.77
16.54,33.1,16.91
14.35,33.68,17
11.89,34.32,17.07
9.65,34.9,17.26
7.6,35.43,17.43
7.34,35.84,17.69
8.34,36.26,18.03
9.29,36.72,18.34
10.68,37.09,18.61
14.04,37.4,18.94
17.37,37.73,19.48
21.32,37.93,20.16
25.15,38.09,20.84
27.51,38.16,21.55
29.66,38.24,22.28
29.25,38.4,22.89
28.51,38.41,23.26
24.39,38.12,23.43
18.63,37.72,23.49
14.57,37.28,23.64
18.77,37.43,23.46
25.44,38.04,23.32
32.19,37.88,23.39
9.48,45.23,29.76
10.43,45.32,29.51
10.22,45.27,29.32
12.11,44.84,28.8
12.8,44.36,28.44
14.29,43.97,27.96
15.54,43.61,27.59
16.49,43.26,27.33
17.47,42.99,27.14
18.03,42.81,26.97
18.53,42.66,26.86
18.79,42.53,26.83
19.12,42.45,26.8
19.2,42.44,26.76
19.05,42.4,26.79
18.82,42.35,26.8
18.5,42.39,26.84
17.94,42.48,26.92
17.24,42.58,27.03
16.26,42.81,27.17
15.1,43.11,27.29
13.74,43.64,27.34
12.51,44.32,27.38
11.17,45.35,27.32
10.05,46.61,27.21
9.43,48.05,27.02
9.29,49.55,26.83
9.69,51.03,26.7
10.33,52.38,26.59
10.86,53.6,26.52
11.79,54.55,26.44
12.63,55.35,26.37
13.79,55.99,26.39
15.31,56.49,26.36
16.4,56.95,26.37
17.33,57.31,26.5
19.2,57.77,26.52
21.37,58.22,26.66
24.4,58.58,26.85
27.42,58.96,27.47
31.02,59.49,28.23
35.41,60.26,28.92
45.03,61.07,29.33
55.19,62.35,29.65
61.98,63.27,30.47
62.73,63.84,31.39
59.47,63.66,32.23
51.06,63.43,32.97
41.93,63.45,33.61
34.03,63.83,34.14
28.43,64.3,34.53
25.63,64.68,34.78
25.19,64.97,34.84
25.93,65.31,34.74
28.75,65.5,34.53
32.54,65.69,34.24
37.91,65.83,33.79
42.72,66.28,33.34
49.09,66.69,32.74
53.68,67.26,32.22
58.8,67.9,31.58
64.15,68.66,30.94
70.66,69.43,30.34
78.43,70.24,29.8
89.25,71.12,29.44
103.98,71.85,29.17
113.8,72.62,29.25
122.75,73.28,29.4
118.93,74.24,29.68
115.63,74.87,30.01
112.08,74.97,30.26
114.26,74.97,30.53
115.04,74.97,30.7
116.78,74.97,30.87
110.54,74.97,31.2
107.05,74.97,31.46
94.01,74.75,31.99
87.69,73.69,32.17
80.02,72.55,32.47
73.78,70.93,32.78
63.49,69.25,33.42
47.5,67.52,34.5
29.39,65.74,35.76
16.61,63.63,36.66
9.78,61.07,36.85
6.89,58.23,36.68
5.13,55.64,36.41
4.15,53.48,36.1
3.86,51.71,35.69
4.22,50.27,35
4.94,49.16,34.08
6.14,48.18,32.96
7.37,47.31,31.89
8.57,46.53,31.05
9.1,45.94,30.41
9.6,45.44,30
30.28,42.94,27.53
29.35,42.81,27.55
30.28,42.97,27.54
32.6,43.4,27.42
33.43,44.17,27.33
32.14,44.79,27.5
31.09,45.2,27.86
30.52,44.86,28.31
33.38,44.27,28.47
33.46,43.51,28.4
32.01,43.14,27.78
28.1,42.63,26.67
23.6,42.35,25.27
