LMP,Load,Temperature
12.29,39.92,25.99
13.03,39.75,26.05
13.23,39.77,26.12
14.05,39.53,25.99
14.26,39.29,25.91
15.11,39.01,25.75
15.66,38.71,25.64
16.01,38.47,25.58
16.2,38.35,25.53
16.27,38.29,25.49
16.14,38.25,25.47
16.19,38.2,25.51
16.05,38.22,25.47
16.18,38.19,25.47
16.14,38.19,25.45
16.19,38.2,25.45
16.18,38.23,25.47
15.98,38.25,25.45
15.86,38.31,25.47
15.85,38.35,25.48
15.67,38.44,25.47
15.57,38.48,25.46
15.2,38.57,25.48
15.02,38.74,25.41
14.75,38.9,25.35
14.41,39.12,25.27
13.91,39.43,25.12
13.4,39.9,24.99
12.79,40.5,24.74
12.19,41.24,24.51
11.67,42.17,24.2
11.14,43.31,23.84
10.88,44.68,23.53
10.71,46.12,23.3
11.51,47.6,23.14
12.02,49.14,23.1
13.17,50.45,23.2
15,51.66,23.4
16.72,52.77,23.69
17.84,53.73,23.87
18.72,54.47,24.04
21.13,55.14,23.96
25.76,55.6,24.14
33.59,55.98,24.71
44.36,56.3,25.91
56.3,56.74,27.53
66.88,57.62,29.16
72.78,58.81,30.39
72.6,59.91,31.18
68.54,60.52,31.85
63.97,60.91,32.25
64.19,61.1,32.44
63.76,61.33,32.63
63.87,61.55,32.58
63.64,61.7,32.65
62.8,61.84,32.67
62.87,61.95,32.62
63.79,61.91,32.71
63.11,61.91,32.63
62.73,61.78,32.66
61.41,61.74,32.7
60.26,61.71,32.7
59.8,61.77,32.75
59.64,61.6,32.77
58.39,61.49,32.84
57.51,61.33,32.92
55.13,61.25,32.98
53.94,61,33.05
51.52,60.84,33.1
50.09,60.62,33.2
48.01,60.41,33.33
46.12,60.03,33.46
43.52,59.64,33.61
41.79,59.21,33.69
40.11,58.74,33.75
38.38,58.27,33.88
38.66,57.76,33.97
39.86,57.26,33.97
42.23,56.72,33.88
45.41,56.15,33.75
49.42,55.62,33.63
53.68,55.07,33.54
55.82,54.67,33.62
52,54.48,33.83
46.23,54.68,33.84
39.2,55.23,33.55
30.04,56.19,33.21
24.39,56.76,32.73
23.24,57.21,31.82
22.84,57.79,30.83
24.13,58.48,30.03
26.5,59.12,28.97
28.45,59.31,27.98
32.18,59.43,27.44
35.36,59.42,27.23
35.1,59.42,27.24
