LMP,Load,Temperature
15.16,33.92,17.06
14.69,33.75,17.37
17.33,33.82,17.22
16.4,34.13,17.05
13.31,34.43,16.98
9.65,34.83,17.16
8.83,34.97,17.26
7.7,35.5,17.39
7.52,36.14,17.53
7.33,36.84,17.81
8.34,37.42,18.18
11.78,37.83,18.44
16.8,38.14,18.66
20.27,38.39,19.1
22.41,38.67,19.95
25.84,38.94,20.94
29.42,39.21,21.81
30.44,39.32,22.41
28.34,39.46,22.9
27.38,39.72,23.29
27.02,40.08,23.62
26.86,40.57,23.82
28.13,41.04,23.84
27.36,41.29,23.95
29.02,41.46,24.05
31.32,41.68,23.85
29.14,41.91,23.42
24.87,41.81,22.97
21.25,41.57,22.42
18.94,41.32,21.34
16.8,41.3,19.8
15.4,41.35,18.42
14.68,41.46,17.75
15.86,41.61,17.61
17.41,41.67,17.52
16.43,41.6,17.34
14.67,41.56,17.07
14.09,41.1,16.81
13.97,40.36,16.79
15.99,39.32,16.77
18.47,38.11,16.69
19.33,37.12,16.61
20.05,36.1,16.52
20.26,35.21,16.5
19.71,34.52,16.56
18.91,34,16.59
18.68,33.57,16.63
18.82,33.21,16.75
18.93,32.97,16.85
19.69,32.76,16.82
20.04,32.52,16.9
21.13,32.32,16.85
21.28,32.12,16.84
21.21,32.07,16.87
21.46,31.96,16.85
21.6,31.87,16.83
21.25,31.92,16.84
21.39,31.86,16.86
21.62,31.86,16.81
21.83,31.83,16.78
21.57,31.84,16.81
21.48,31.87,16.81
21.64,31.88,16.8
21.7,31.97,16.76
22.01,31.93,16.76
22.63,31.86,16.66
22.39,31.9,16.61
22.48,31.94,16.65
22.12,32.01,16.6
22.94,31.94,16.45
21.44,32.07,16.64
19.99,32.35,16.71
18.08,32.7,16.77
16.54,33.1,16.91
14.35,33.68,17
11.89,34.32,17.07
9.65,34.9,17.26
7.6,35.43,17.43
7.34,35.84,17.69
8.34,36.26,18.03
9.29,36.72,18.34
10.68,37.09,18.61
14.04,37.4,18.94
17.37,37.73,19.48
21.32,37.93,20.16
25.15,38.09,20.84
27.51,38.16,21.55
29.66,38.24,22.28
29.25,38.4,22.89
28.51,38.41,23.26
24.39,38.12,23.43
18.63,37.72,23.49
14.57,37.28,23.64
18.77,37.43,23.46
25.44,38.04,23.32
32.19,37.88,23.39
