LMP,Load,Temp,,,,LMP(S),Load(S),LMP(S),,LMP(O),Load(O),Temp(O)
17.08,39.59,24.25,,,mean,28.3,45.45,21.67,,24.81,39.49,16.98
16.93,37.82,22.88,,,std,17.33,5.46,3.34,,54.45,6.26,7.2
16.69,37.82,22.88,,,,,,,,,,
16.35,37.82,22.38,,,,,,,,,,
15.63,37.82,22.38,,,,,,,,,,
15.41,36.7,21.9,,,,,,,,,,
15.28,36.7,21.9,,,,,,,,,,
14.86,36.7,21.61,,,,,,,,,,
14.64,36.7,21.61,,,,,,,,,,
14.78,36.11,21.33,,,,,,,,,,
14.75,36.11,21.33,,,,,,,,,,
14.65,36.11,21.13,,,,,,,,,,
14.57,36.11,21.13,,,,,,,,,,
14.99,36.13,20.91,,,,,,,,,,
15.35,36.13,20.91,,,,,,,,,,
15.69,36.13,20.73,,,,,,,,,,
15.65,36.13,20.73,,,,,,,,,,
16.53,37.12,20.55,,,,,,,,,,
16.61,37.12,20.55,,,,,,,,,,
16.88,37.12,20.4,,,,,,,,,,
16.9,37.12,20.4,,,,,,,,,,
19.55,39.06,20.23,,,,,,,,,,
19.17,39.06,20.23,,,,,,,,,,
21.35,39.06,20.07,,,,,,,,,,
21.25,39.06,20.07,,,,,,,,,,
23.1,40.87,19.92,,,,,,,,,,
22.99,40.87,19.92,,,,,,,,,,
24.3,40.87,19.76,,,,,,,,,,
23.54,40.87,19.76,,,,,,,,,,
23.14,42.37,19.61,,,,,,,,,,
22.62,42.37,19.61,,,,,,,,,,
22.11,42.37,19.45,,,,,,,,,,
22.37,42.37,19.45,,,,,,,,,,
24.13,43.86,19.3,,,,,,,,,,
23.59,43.86,19.3,,,,,,,,,,
23.9,43.86,19.13,,,,,,,,,,
24.06,43.86,19.13,,,,,,,,,,
25.61,45.38,18.96,,,,,,,,,,
24.19,45.38,18.96,,,,,,,,,,
24.22,45.38,18.78,,,,,,,,,,
24.15,45.38,18.78,,,,,,,,,,
24.46,46.64,18.6,,,,,,,,,,
24.87,46.64,18.6,,,,,,,,,,
24.89,46.64,18.43,,,,,,,,,,
25.6,46.64,18.43,,,,,,,,,,
24.76,47.58,18.26,,,,,,,,,,
24.91,47.58,18.26,,,,,,,,,,
27.04,47.58,18.33,,,,,,,,,,
26.25,47.58,18.33,,,,,,,,,,
24.55,48.34,18.39,,,,,,,,,,
25.47,48.34,18.39,,,,,,,,,,
27.27,48.34,18.74,,,,,,,,,,
27.14,48.34,18.74,,,,,,,,,,
24.55,48.83,19.09,,,,,,,,,,
25.44,48.83,19.09,,,,,,,,,,
26.84,48.83,19.67,,,,,,,,,,
28.07,48.83,19.67,,,,,,,,,,
28.11,49.06,20.24,,,,,,,,,,
29.62,49.06,20.24,,,,,,,,,,
30.37,49.06,20.82,,,,,,,,,,
30.28,49.06,20.82,,,,,,,,,,
28.81,49.18,21.39,,,,,,,,,,
30.06,49.18,21.39,,,,,,,,,,
29.29,49.18,21.94,,,,,,,,,,
29.12,49.18,21.94,,,,,,,,,,
26.69,49.1,22.49,,,,,,,,,,
26.67,49.1,22.49,,,,,,,,,,
25.94,49.1,22.93,,,,,,,,,,
24.51,49.1,22.93,,,,,,,,,,
23.28,48.91,23.37,,,,,,,,,,
24.85,48.91,23.37,,,,,,,,,,
27.63,48.91,23.67,,,,,,,,,,
27.83,48.91,23.67,,,,,,,,,,
26.44,48.74,23.96,,,,,,,,,,
27.53,48.74,23.96,,,,,,,,,,
27.72,48.74,24.09,,,,,,,,,,
26.23,48.74,24.09,,,,,,,,,,
25.45,48.19,24.21,,,,,,,,,,
26.13,48.19,24.21,,,,,,,,,,
25.05,48.19,24.17,,,,,,,,,,
24.12,48.19,24.17,,,,,,,,,,
23.91,47.01,24.12,,,,,,,,,,
23.71,47.01,24.12,,,,,,,,,,
22.32,47.01,23.9,,,,,,,,,,
21.41,47.01,23.9,,,,,,,,,,
21.31,44.82,23.69,,,,,,,,,,
21.58,44.82,23.69,,,,,,,,,,
20.69,44.82,23.26,,,,,,,,,,
19.86,44.82,23.26,,,,,,,,,,
19.98,42.16,22.83,,,,,,,,,,
20.23,42.16,22.83,,,,,,,,,,
19.37,42.16,22.08,,,,,,,,,,
18.07,42.16,22.08,,,,,,,,,,
18.41,39.83,21.33,,,,,,,,,,
18.63,39.83,21.33,,,,,,,,,,
18.03,39.83,21.33,,,,,,,,,,
18.09,40.21,23.3,,,,,,,,,,
18.2,38.52,21.66,,,,,,,,,,
18.17,38.52,21.66,,,,,,,,,,
17.71,38.52,21.14,,,,,,,,,,
17.27,38.52,21.14,,,,,,,,,,
16.77,37.48,20.62,,,,,,,,,,
17.2,37.48,20.62,,,,,,,,,,
16.72,37.48,20.32,,,,,,,,,,
16.75,37.48,20.32,,,,,,,,,,
16.97,36.95,20.02,,,,,,,,,,
16.85,36.95,20.02,,,,,,,,,,
16.79,36.95,19.8,,,,,,,,,,
16.61,36.95,19.8,,,,,,,,,,
16.96,37.12,19.57,,,,,,,,,,
17.22,37.12,19.57,,,,,,,,,,
17.71,37.12,19.4,,,,,,,,,,
18.28,37.12,19.4,,,,,,,,,,
19.24,38.43,19.23,,,,,,,,,,
18.8,38.43,19.23,,,,,,,,,,
19.52,38.43,19.09,,,,,,,,,,
19.33,38.43,19.09,,,,,,,,,,
23.51,40.82,18.95,,,,,,,,,,
22.82,40.82,18.95,,,,,,,,,,
26.64,40.82,18.83,,,,,,,,,,
26.66,40.82,18.83,,,,,,,,,,
29.31,42.5,18.73,,,,,,,,,,
26.97,42.5,18.73,,,,,,,,,,
27.12,42.5,18.64,,,,,,,,,,
26.44,42.5,18.64,,,,,,,,,,
26.43,43.55,18.53,,,,,,,,,,
23.9,43.55,18.53,,,,,,,,,,
23.35,43.55,18.45,,,,,,,,,,
22.92,43.55,18.45,,,,,,,,,,
24.22,44.65,18.36,,,,,,,,,,
23.75,44.65,18.36,,,,,,,,,,
23.72,44.65,18.26,,,,,,,,,,
25.95,44.65,18.26,,,,,,,,,,
27.19,45.83,18.16,,,,,,,,,,
26.59,45.83,18.16,,,,,,,,,,
26.49,45.83,18.06,,,,,,,,,,
26.27,45.83,18.06,,,,,,,,,,
26.74,46.86,17.95,,,,,,,,,,
26.97,46.86,17.95,,,,,,,,,,
27.85,46.86,17.87,,,,,,,,,,
29.72,46.86,17.87,,,,,,,,,,
28.05,47.69,17.79,,,,,,,,,,
29.04,47.69,17.79,,,,,,,,,,
32.1,47.69,17.96,,,,,,,,,,
33.21,47.69,17.96,,,,,,,,,,
35.26,48.45,18.12,,,,,,,,,,
40.32,48.45,18.12,,,,,,,,,,
46.15,48.45,18.73,,,,,,,,,,
48.74,48.45,18.73,,,,,,,,,,
47.19,48.93,19.35,,,,,,,,,,
52.97,48.93,19.35,,,,,,,,,,
58.23,48.93,20.23,,,,,,,,,,
63.39,48.93,20.23,,,,,,,,,,
63.51,49.12,21.12,,,,,,,,,,
68.78,49.12,21.12,,,,,,,,,,
69.88,49.12,22,,,,,,,,,,
70.86,49.12,22,,,,,,,,,,
62.81,49.16,22.88,,,,,,,,,,
67.8,49.16,22.88,,,,,,,,,,
62.47,49.16,23.66,,,,,,,,,,
57.04,49.16,23.66,,,,,,,,,,
45.9,48.87,24.44,,,,,,,,,,
45.18,48.87,24.44,,,,,,,,,,
40.01,48.87,25,,,,,,,,,,
35.16,48.87,25,,,,,,,,,,
29.22,48.26,25.57,,,,,,,,,,
28.52,48.26,25.57,,,,,,,,,,
28.75,48.26,25.93,,,,,,,,,,
28.56,48.26,25.93,,,,,,,,,,
26.49,47.74,26.29,,,,,,,,,,
26.99,47.74,26.29,,,,,,,,,,
27.15,47.74,26.45,,,,,,,,,,
27.14,47.74,26.45,,,,,,,,,,
27.99,47.18,26.61,,,,,,,,,,
27.09,47.18,26.61,,,,,,,,,,
24.98,47.18,26.6,,,,,,,,,,
23,47.18,26.6,,,,,,,,,,
23.25,45.71,26.57,,,,,,,,,,
22.16,45.71,26.57,,,,,,,,,,
21.76,45.71,26.36,,,,,,,,,,
20.27,45.71,26.36,,,,,,,,,,
20.33,43.25,26.15,,,,,,,,,,
21.1,43.25,26.15,,,,,,,,,,
20.08,43.25,25.72,,,,,,,,,,
19.16,43.25,25.72,,,,,,,,,,
18.89,40.48,25.29,,,,,,,,,,
19.16,40.48,25.29,,,,,,,,,,
18.39,40.48,24.52,,,,,,,,,,
17.1,40.48,24.52,,,,,,,,,,
17.35,38.11,23.75,,,,,,,,,,
17.29,38.11,23.75,,,,,,,,,,
16.92,38.11,23.75,,,,,,,,,,
16,40.48,26.66,,,,,,,,,,
15.79,38.52,24.86,,,,,,,,,,
15.52,38.52,24.86,,,,,,,,,,
15.07,38.52,24.2,,,,,,,,,,
14.63,38.52,24.2,,,,,,,,,,
14.41,37.21,23.54,,,,,,,,,,
14.2,37.21,23.54,,,,,,,,,,
13.78,37.21,23.19,,,,,,,,,,
13.69,37.21,23.19,,,,,,,,,,
13.5,36.46,22.86,,,,,,,,,,
13.62,36.46,22.86,,,,,,,,,,
13.56,36.46,22.6,,,,,,,,,,
13.5,36.46,22.6,,,,,,,,,,
13.86,36.39,22.35,,,,,,,,,,
14.25,36.39,22.35,,,,,,,,,,
14.59,36.39,22.15,,,,,,,,,,
14.68,36.39,22.15,,,,,,,,,,
15.44,37.36,21.95,,,,,,,,,,
15.82,37.36,21.95,,,,,,,,,,
16.37,37.36,21.8,,,,,,,,,,
16.32,37.36,21.8,,,,,,,,,,
18.06,39.19,21.64,,,,,,,,,,
18.22,39.19,21.64,,,,,,,,,,
19.51,39.19,21.5,,,,,,,,,,
19.38,39.19,21.5,,,,,,,,,,
20.11,40.57,21.37,,,,,,,,,,
19.98,40.57,21.37,,,,,,,,,,
20.4,40.57,21.25,,,,,,,,,,
20.19,40.57,21.25,,,,,,,,,,
20.69,42.25,21.13,,,,,,,,,,
20.62,42.25,21.13,,,,,,,,,,
20.65,42.25,21.03,,,,,,,,,,
20.83,42.25,21.03,,,,,,,,,,
22.14,44.49,20.91,,,,,,,,,,
22.24,44.49,20.91,,,,,,,,,,
22.78,44.49,20.8,,,,,,,,,,
23.88,44.49,20.8,,,,,,,,,,
24.6,46.96,20.69,,,,,,,,,,
24.66,46.96,20.69,,,,,,,,,,
25.12,46.96,20.57,,,,,,,,,,
25.28,46.96,20.57,,,,,,,,,,
25.82,49.26,20.45,,,,,,,,,,
