HourEnding,ERCOT
1/1/2019 0:00,37081.44344
1/1/2019 1:00,37258.98993
1/1/2019 2:00,37300.18781
1/1/2019 3:00,37423.54346
1/1/2019 4:00,37895.21229
1/1/2019 5:00,38825.08942
1/1/2019 6:00,39910.65557
1/1/2019 7:00,40436.55619
1/1/2019 8:00,40950.15823
1/1/2019 9:00,41763.47111
1/1/2019 10:00,42249.93783
1/1/2019 11:00,42296.6801
1/1/2019 12:00,41879.17794
1/1/2019 13:00,41376.30864
1/1/2019 14:00,40991.34613
1/1/2019 15:00,41015.88665
1/1/2019 16:00,41842.17937
1/1/2019 17:00,44058.74471
1/1/2019 18:00,45400.62442
1/1/2019 19:00,45246.04165
1/1/2019 20:00,44844.3056
1/1/2019 21:00,43901.78062
1/1/2019 22:00,42206.59568
1/1/2019 23:00,40494.83585
1/2/2019 0:00,39246.74255
1/2/2019 1:00,38577.96475
1/2/2019 2:00,38434.14099
1/2/2019 3:00,38830.9802
1/2/2019 4:00,40072.09008
1/2/2019 5:00,42485.79707
1/2/2019 6:00,45299.72303
1/2/2019 7:00,47420.62415
1/2/2019 8:00,48547.90705
1/2/2019 9:00,49679.18913
1/2/2019 10:00,50682.59113
1/2/2019 11:00,51256.52327
1/2/2019 12:00,51414.31386
1/2/2019 13:00,51455.22069
1/2/2019 14:00,51263.43806
1/2/2019 15:00,51149.18109
1/2/2019 16:00,51381.51197
1/2/2019 17:00,52717.56394
1/2/2019 18:00,53277.1324
1/2/2019 19:00,52309.21651
1/2/2019 20:00,51043.85213
1/2/2019 21:00,49194.02761
1/2/2019 22:00,46628.16578
1/2/2019 23:00,44287.42687
1/3/2019 0:00,42470.57439
1/3/2019 1:00,41445.49456
1/3/2019 2:00,41061.88985
1/3/2019 3:00,41019.87332
1/3/2019 4:00,41999.26146
1/3/2019 5:00,44024.87389
1/3/2019 6:00,46572.41375
1/3/2019 7:00,48255.84864
1/3/2019 8:00,48684.82809
1/3/2019 9:00,48896.62774
1/3/2019 10:00,49026.0261
1/3/2019 11:00,48540.92225
1/3/2019 12:00,47492.46116
1/3/2019 13:00,46312.87367
1/3/2019 14:00,45216.12405
1/3/2019 15:00,44530.41445
1/3/2019 16:00,44772.64772
1/3/2019 17:00,46512.88122
1/3/2019 18:00,48596.58825
1/3/2019 19:00,48814.77949
1/3/2019 20:00,48647.18436
1/3/2019 21:00,47765.30168
1/3/2019 22:00,46020.99765
1/3/2019 23:00,44191.86534
1/4/2019 0:00,43062.27597
1/4/2019 1:00,42515.87088
1/4/2019 2:00,42367.48591
1/4/2019 3:00,42732.0359
1/4/2019 4:00,43704.84602
1/4/2019 5:00,46019.06006
1/4/2019 6:00,48824.86282
1/4/2019 7:00,50161.95032
1/4/2019 8:00,49292.11303
1/4/2019 9:00,47110.96977
1/4/2019 10:00,45046.2527
1/4/2019 11:00,42861.73672
1/4/2019 12:00,40740.37857
1/4/2019 13:00,39193.19925
1/4/2019 14:00,37952.54263
1/4/2019 15:00,37056.14335
1/4/2019 16:00,36749.96872
1/4/2019 17:00,37954.1509
1/4/2019 18:00,40150.95012
1/4/2019 19:00,40524.77092
1/4/2019 20:00,40718.69089
1/4/2019 21:00,40572.59082
1/4/2019 22:00,39777.36204
1/4/2019 23:00,38636.9235
1/5/2019 0:00,37802.6642
1/5/2019 1:00,37500.86692
1/5/2019 2:00,37567.39523
1/5/2019 3:00,38055.27616
1/5/2019 3:59,38925.98839
1/5/2019 4:59,40399.26162
1/5/2019 5:59,42314.27342
1/5/2019 6:59,43898.21994
1/5/2019 7:59,43861.5818
1/5/2019 8:59,42009.96508
1/5/2019 9:59,39824.31106
1/5/2019 10:59,37778.88544
1/5/2019 11:59,36191.30358
1/5/2019 12:59,35090.53029
1/5/2019 13:59,34369.34061
1/5/2019 14:59,33968.36193
1/5/2019 15:59,33893.95442
1/5/2019 16:59,34818.76969
1/5/2019 17:59,36655.31691
1/5/2019 18:59,36685.039
1/5/2019 19:59,36293.1369
1/5/2019 20:59,36061.71394
1/5/2019 21:59,35333.23981
1/5/2019 22:59,34516.54992
1/5/2019 23:59,33497.97216
1/6/2019 0:59,32912.22792
1/6/2019 1:59,32696.53846
1/6/2019 2:59,32846.38371
1/6/2019 3:59,33369.36091
1/6/2019 4:59,34294.1096
1/6/2019 5:59,35666.49436
1/6/2019 6:59,36737.77094
1/6/2019 7:59,37361.88853
1/6/2019 8:59,36988.63893
1/6/2019 9:59,36089.81811
1/6/2019 10:59,35467.03344
1/6/2019 11:59,34979.29966
1/6/2019 12:59,34661.29782
1/6/2019 13:59,34290.90132
1/6/2019 14:59,34185.25308
1/6/2019 15:59,34396.06459
1/6/2019 16:59,35477.14944
1/6/2019 17:59,37288.02686
1/6/2019 18:59,37262.37765
1/6/2019 19:59,36578.86534
1/6/2019 20:59,35402.96562
1/6/2019 21:59,33530.22215
1/6/2019 22:59,31444.94404
1/6/2019 23:59,29951.41669
1/7/2019 0:59,28888.12979
1/7/2019 1:59,28509.15606
1/7/2019 2:59,28448.75727
1/7/2019 3:59,29234.03298
1/7/2019 4:59,31171.02161
1/7/2019 5:59,34165.55524
1/7/2019 6:59,35608.37781
1/7/2019 7:59,35841.39707
1/7/2019 8:59,36212.98178
1/7/2019 9:59,36721.63952
1/7/2019 10:59,36958.65003
1/7/2019 11:59,37129.56852
1/7/2019 12:59,37400.72604
1/7/2019 13:59,37415.01672
1/7/2019 14:59,37255.99973
1/7/2019 15:59,37040.10135
1/7/2019 16:59,37675.46842
1/7/2019 17:59,39334.73367
1/7/2019 18:59,39036.94168
1/7/2019 19:59,38102.85148
1/7/2019 20:59,36691.14756
1/7/2019 21:59,34494.74944
1/7/2019 22:59,32188.17615
1/7/2019 23:59,30517.69632
1/8/2019 0:59,29651.79276
1/8/2019 1:59,29322.56117
1/8/2019 2:59,29433.26741
1/8/2019 3:59,30256.87275
1/8/2019 4:59,32662.39521
1/8/2019 5:59,36377.01716
1/8/2019 6:59,37915.38133
1/8/2019 7:59,37526.82071
1/8/2019 8:59,37426.32617
1/8/2019 9:59,37546.53787
1/8/2019 10:59,37579.84836
1/8/2019 11:59,37548.28124
1/8/2019 12:59,37543.64994
1/8/2019 13:59,37386.99931
1/8/2019 14:59,37056.9526
1/8/2019 15:59,36954.56693
1/8/2019 16:59,37892.41332
1/8/2019 17:59,39711.80552
1/8/2019 18:59,39624.41552
1/8/2019 19:59,38957.55915
1/8/2019 20:59,37528.86676
1/8/2019 21:59,35294.84798
1/8/2019 22:59,33093.63804
1/8/2019 23:59,31703.2925
1/9/2019 0:59,31022.74853
1/9/2019 1:59,30920.23576
1/9/2019 2:59,31153.61574
1/9/2019 3:59,32103.94746
1/9/2019 4:59,34663.79513
1/9/2019 5:59,38875.82713
1/9/2019 6:59,40521.45765
1/9/2019 7:59,40183.37667
1/9/2019 8:59,39893.0594
1/9/2019 9:59,39415.99589
1/9/2019 10:59,38633.79785
1/9/2019 11:59,37742.71298
1/9/2019 12:59,37179.86623
1/9/2019 13:59,36672.13136
1/9/2019 14:59,36349.93529
1/9/2019 15:59,36610.18937
1/9/2019 16:59,38087.22161
1/9/2019 17:59,40519.75323
1/9/2019 18:59,40951.20432
